Table key:
~            = It is possible that this apparent recombination signal could have been caused by an evolutionary
               process other than recombination.
*            = The actual breakpoint position is undetermined (it was most likely either overprinted by a subsequent 
               recombination event or off the edges of the analysed sequence fragments).
$            = This might not be breakpoint - it is likey the edge of a genome segment (possibly exchanged during reassortment)
^            = The recombinant sequence may have been misidentified (one of the identified parents might be the recombinant)
Minor Parent = Parent contributing the smaller fraction of sequence.
Major Parent = Parent contributing the larger fraction of sequence.
Unknown      = Only one parent and a recombinant need be in the alignment for a recombination event to be detectable.
               The sequence listed as unknown was used to infer the existance of a missing parental sequence.
NS           = No significant P-value was recorded for this recombination event using the particular method in question.

,,,Breakpoint Positions
,,In Alignment, ,In Recombinant Sequence, ,Relative to J02029.1,,, , , , , , Detection Methods
Recombination Event Number, Number In .RDP File, Begin, End,Begin, End,Begin, End, Recombinant Sequence(s), Minor Parental Sequence(s), Major Parental Sequence(s), RDP, GENECONV, Bootscan, Maxchi, Chimaera, SiSscan,PhylPro, LARD, 3Seq
 1 ,1~, 8612, 8875, 7620, 7742, 8612, 8875,KF797883.1,Unknown (JX891479.1),KY007257.1,NS, 1.48152175702663E-47, 1.50801315949362E-43, 1.52875623851839E-11, 3.06294663080216E-11, 1.3722716921523E-22,NS,NS, 1.20125418841902E-40,
 1,,,,,,,,,Unknown(JX891478.1),AB513134.1
 1,,,,,,,,,Unknown(KF242505.1),AF042071.1
 1,,,,,,,,,Unknown(KF242506.1),AF139170.1
 1,,,,,,,,,Unknown(KX905202.1),AF259264.1
 1,,,,,,,,,Unknown(KX905203.1),AY563954.1
 1,,,,,,,,,Unknown(L02534.1),HQ606137.1
 1,,,,,,,,,,HQ606138.1
 1,,,,,,,,,,J02029.1
 1,,,,,,,,,,KC807984.1
 1,,,,,,,,,,KF797815.1
 1,,,,,,,,,,KF797816.1
 1,,,,,,,,,,KF797817.1
 1,,,,,,,,,,KF797818.1
 1,,,,,,,,,,KF797819.1
 1,,,,,,,,,,KF797820.1
 1,,,,,,,,,,KF797821.1
 1,,,,,,,,,,KF797822.1
 1,,,,,,,,,,KF797823.1
 1,,,,,,,,,,KF797824.1
 1,,,,,,,,,,KF797825.1
 1,,,,,,,,,,KF797826.1
 1,,,,,,,,,,KF797827.1
 1,,,,,,,,,,KF797828.1
 1,,,,,,,,,,KF797829.1
 1,,,,,,,,,,KF797830.1
 1,,,,,,,,,,KF797831.1
 1,,,,,,,,,,KF797832.1
 1,,,,,,,,,,KF797833.1
 1,,,,,,,,,,KF797834.1
 1,,,,,,,,,,KF797835.1
 1,,,,,,,,,,KF797837.1
 1,,,,,,,,,,KF797838.1
 1,,,,,,,,,,KF797839.1
 1,,,,,,,,,,KF797840.1
 1,,,,,,,,,,KF797841.1
 1,,,,,,,,,,KF797842.1
 1,,,,,,,,,,KF797843.1
 1,,,,,,,,,,KF797844.1
 1,,,,,,,,,,KF797845.1
 1,,,,,,,,,,KF797847.1
 1,,,,,,,,,,KF797848.1
 1,,,,,,,,,,KF797849.1
