id	chr	start	end	tag	tag%
chr5:48989056-48989056	chr5	48989056	48989056	43	10.4368932038835
chr8:69391608-69391608	chr8	69391608	69391608	2	0.485436893203884
chr5:48526587-48526587	chr5	48526587	48526587	3	0.728155339805825
chr2:212536530-212536530	chr2	212536530	212536530	3	0.728155339805825
chr2:32916302-32916603	chr2	32916302	32916603	14	3.39805825242718
chr5:48645379-48645379	chr5	48645379	48645379	3	0.728155339805825
chr16:34274823-34274832	chr16	34274823	34274832	11	2.66990291262136
chr19:26588551-26588561	chr19	26588551	26588561	47	11.4077669902913
chr19:26832965-26832965	chr19	26832965	26832965	32	7.76699029126214
chr1:122666955-122666955	chr1	122666955	122666955	2	0.485436893203884
chr1:124427523-124427523	chr1	124427523	124427523	28	6.79611650485437
chr22:14420154-14420193	chr22	14420154	14420193	76	18.4466019417476
chr5:49233460-49233460	chr5	49233460	49233460	31	7.52427184466019
chr5:47308420-47308454	chr5	47308420	47308454	11	2.66990291262136
chr19:26244884-26244884	chr19	26244884	26244884	4	0.970873786407767
chr8:37433163-37433163	chr8	37433163	37433163	2	0.485436893203884
chr19:24911954-24911954	chr19	24911954	24911954	2	0.485436893203884
chr10:21976672-21976672	chr10	21976672	21976672	2	0.485436893203884
chr19:25059811-25059811	chr19	25059811	25059811	47	11.4077669902913
chr1:124183109-124183119	chr1	124183109	124183119	46	11.1650485436893
chr1:123839442-123839442	chr1	123839442	123839442	3	0.728155339805825
