id	chr	start	end	tag	tag%	abs
chr10:37169370-37169370	chr10	37169370	37169370	1	0.418410041841004	0.17558
chr21:10697415-10697415	chr21	10697415	10697415	2	0.836820083682008	0.35116
chr16:51033213-51033213	chr16	51033213	51033213	1	0.418410041841004	0.17558
chr18:13797797-13797797	chr18	13797797	13797797	1	0.418410041841004	0.17558
chr12:78327160-78327161	chr12	78327160	78327161	2	0.836820083682008	0.35116
chr1:25142958-25142958	chr1	25142958	25142958	1	0.418410041841004	0.17558
chr16:75004792-75004792	chr16	75004792	75004792	2	0.836820083682008	0.35116
chr2:121415745-121415745	chr2	121415745	121415745	1	0.418410041841004	0.17558
chr14:19673319-19673325	chr14	19673319	19673325	2	0.836820083682008	0.35116
chr3:100567839-100567839	chr3	100567839	100567839	1	0.418410041841004	0.17558
chr18:44361173-44361173	chr18	44361173	44361173	1	0.418410041841004	0.17558
chr17:43240959-43240959	chr17	43240959	43240959	1	0.418410041841004	0.17558
chr13:19438860-19438860	chr13	19438860	19438860	2	0.836820083682008	0.35116
chr11:101895549-101895549	chr11	101895549	101895549	1	0.418410041841004	0.17558
chr5:28237578-28237578	chr5	28237578	28237578	1	0.418410041841004	0.17558
chr6:151703606-151703606	chr6	151703606	151703606	1	0.418410041841004	0.17558
chr1:7684493-7684493	chr1	7684493	7684493	2	0.836820083682008	0.35116
chr5:175953914-175953960	chr5	175953914	175953960	2	0.836820083682008	0.35116
chr6:42757463-42757463	chr6	42757463	42757463	1	0.418410041841004	0.17558
chr17:43283918-43283918	chr17	43283918	43283918	1	0.418410041841004	0.17558
chr22:34122848-34122879	chr22	34122848	34122879	4	1.67364016736402	0.702319
chr16:35320404-35320404	chr16	35320404	35320404	1	0.418410041841004	0.17558
chr16:31856570-31856570	chr16	31856570	31856570	2	0.836820083682008	0.35116
chr4:68386105-68386105	chr4	68386105	68386105	1	0.418410041841004	0.17558
chr8:41414167-41414167	chr8	41414167	41414167	1	0.418410041841004	0.17558
chr7:33851272-33851272	chr7	33851272	33851272	1	0.418410041841004	0.17558
chr5:49661531-49661531	chr5	49661531	49661531	1	0.418410041841004	0.17558
chr21:45739886-45739911	chr21	45739886	45739911	2	0.836820083682008	0.35116
chr8:25880844-25880878	chr8	25880844	25880878	2	0.836820083682008	0.35116
chr17:43251608-43251608	chr17	43251608	43251608	1	0.418410041841004	0.17558
chr20:41313717-41313717	chr20	41313717	41313717	1	0.418410041841004	0.17558
chr5:84727845-84727845	chr5	84727845	84727845	3	1.25523012552301	0.526739
chr19:55737767-55737767	chr19	55737767	55737767	1	0.418410041841004	0.17558
chr17:43299820-43299820	chr17	43299820	43299820	1	0.418410041841004	0.17558
chr14:83135686-83135686	chr14	83135686	83135686	1	0.418410041841004	0.17558
chr8:32278704-32278704	chr8	32278704	32278704	1	0.418410041841004	0.17558
chr1:58426775-58426775	chr1	58426775	58426775	2	0.836820083682008	0.35116
