id	chr	start	end	tag	tag%	abs
chr11:124102309-124102309	chr11	124102309	124102309	1	1.12359550561798	0.474644
chr6:59048524-59048524	chr6	59048524	59048524	1	1.12359550561798	0.474644
chr8:58985093-58985093	chr8	58985093	58985093	2	2.24719101123596	0.949288
chr3:153612774-153612791	chr3	153612774	153612791	2	2.24719101123596	0.949288
chr6:16305299-16305299	chr6	16305299	16305299	1	1.12359550561798	0.474644
chr14:102908535-102908535	chr14	102908535	102908535	1	1.12359550561798	0.474644
chrX:5827578-5827578	chrX	5827578	5827578	1	1.12359550561798	0.474644
chr12:27533763-27533763	chr12	27533763	27533763	2	2.24719101123596	0.949288
chr3:189047364-189047364	chr3	189047364	189047364	2	2.24719101123596	0.949288
chr11:61016902-61016903	chr11	61016902	61016903	2	2.24719101123596	0.949288
chr21:8470595-8470595	chr21	8470595	8470595	1	1.12359550561798	0.474644
chr17:8090120-8090143	chr17	8090120	8090143	2	2.24719101123596	0.949288
chr1:165335916-165335928	chr1	165335916	165335928	2	2.24719101123596	0.949288
chr4:168829314-168829314	chr4	168829314	168829314	1	1.12359550561798	0.474644
chr1:61111772-61111772	chr1	61111772	61111772	1	1.12359550561798	0.474644
chr15:57116955-57116955	chr15	57116955	57116955	1	1.12359550561798	0.474644
chr6:63701683-63701683	chr6	63701683	63701683	1	1.12359550561798	0.474644
chr6:89975321-89975321	chr6	89975321	89975321	1	1.12359550561798	0.474644
chr21:29716599-29716599	chr21	29716599	29716599	1	1.12359550561798	0.474644
chr9:135470215-135470246	chr9	135470215	135470246	2	2.24719101123596	0.949288
chr22:23897729-23897729	chr22	23897729	23897729	1	1.12359550561798	0.474644
chr8:88892998-88892998	chr8	88892998	88892998	1	1.12359550561798	0.474644
chr3:157216597-157216604	chr3	157216597	157216604	4	4.49438202247191	1.89858
chr5:58044314-58044314	chr5	58044314	58044314	1	1.12359550561798	0.474644
chr10:99611962-99611991	chr10	99611962	99611991	2	2.24719101123596	0.949288
chrX:31190626-31190626	chrX	31190626	31190626	2	2.24719101123596	0.949288
chr4:113900949-113900949	chr4	113900949	113900949	1	1.12359550561798	0.474644
chr17:62599873-62599873	chr17	62599873	62599873	3	3.37078651685393	1.42393
chr16:49080474-49080474	chr16	49080474	49080474	1	1.12359550561798	0.474644
chrX:67892662-67892662	chrX	67892662	67892662	1	1.12359550561798	0.474644
chr1:172849022-172849022	chr1	172849022	172849022	1	1.12359550561798	0.474644
chr14:77336698-77336698	chr14	77336698	77336698	1	1.12359550561798	0.474644
chr8:92167507-92167507	chr8	92167507	92167507	1	1.12359550561798	0.474644
chr4:4842017-4842017	chr4	4842017	4842017	2	2.24719101123596	0.949288
chr9:110281188-110281220	chr9	110281188	110281220	2	2.24719101123596	0.949288
chr11:90223289-90223289	chr11	90223289	90223289	2	2.24719101123596	0.949288
chr13:62283788-62283788	chr13	62283788	62283788	1	1.12359550561798	0.474644
chr14:26273711-26273711	chr14	26273711	26273711	3	3.37078651685393	1.42393
chr13:67337272-67337272	chr13	67337272	67337272	1	1.12359550561798	0.474644
chr3:51971061-51971061	chr3	51971061	51971061	1	1.12359550561798	0.474644
chr14:52916087-52916087	chr14	52916087	52916087	1	1.12359550561798	0.474644
chr3:185940415-185940415	chr3	185940415	185940415	1	1.12359550561798	0.474644
chr8:32864993-32864993	chr8	32864993	32864993	1	1.12359550561798	0.474644
chr2:183004014-183004014	chr2	183004014	183004014	2	2.24719101123596	0.949288
chr11:78647111-78647111	chr11	78647111	78647111	1	1.12359550561798	0.474644
chr6:58862119-58862119	chr6	58862119	58862119	1	1.12359550561798	0.474644
chr9:41262699-41262699	chr9	41262699	41262699	1	1.12359550561798	0.474644
chr14:65941431-65941431	chr14	65941431	65941431	2	2.24719101123596	0.949288
chr9:104377484-104377484	chr9	104377484	104377484	1	1.12359550561798	0.474644
chr14:64382804-64382804	chr14	64382804	64382804	1	1.12359550561798	0.474644
chr20:30243359-30243359	chr20	30243359	30243359	1	1.12359550561798	0.474644
chr14:101384172-101384172	chr14	101384172	101384172	2	2.24719101123596	0.949288
chr21:8243010-8243010	chr21	8243010	8243010	1	1.12359550561798	0.474644
chr6:58843793-58843793	chr6	58843793	58843793	1	1.12359550561798	0.474644
chr15:80765664-80765664	chr15	80765664	80765664	1	1.12359550561798	0.474644
chr17:62415715-62415715	chr17	62415715	62415715	2	2.24719101123596	0.949288
chr21:7926460-7926460	chr21	7926460	7926460	1	1.12359550561798	0.474644
chr14:75182675-75182675	chr14	75182675	75182675	1	1.12359550561798	0.474644
chr10:97300592-97300592	chr10	97300592	97300592	2	2.24719101123596	0.949288
chr8:63958374-63958387	chr8	63958374	63958387	2	2.24719101123596	0.949288
chr3:89011353-89011353	chr3	89011353	89011353	1	1.12359550561798	0.474644
chr8:1776534-1776534	chr8	1776534	1776534	1	1.12359550561798	0.474644
chr8:52730160-52730160	chr8	52730160	52730160	1	1.12359550561798	0.474644
