id	chr	start	end	tag	tag%
chr1:223107671-223107671	chr1	223107671	223107671	1	0.641025641025641
chr7:61123751-61123751	chr7	61123751	61123751	1	0.641025641025641
chr3:93470412-93470413	chr3	93470412	93470413	2	1.28205128205128
chr4:94749605-94749605	chr4	94749605	94749605	1	0.641025641025641
chr8:43669597-43669597	chr8	43669597	43669597	1	0.641025641025641
chr10:2216887-2216888	chr10	2216887	2216888	2	1.28205128205128
chr14:25373123-25373123	chr14	25373123	25373123	1	0.641025641025641
chr20:30423764-30423764	chr20	30423764	30423764	1	0.641025641025641
chr12:32475691-32475691	chr12	32475691	32475691	1	0.641025641025641
chr9:96876143-96876143	chr9	96876143	96876143	1	0.641025641025641
chr3:174524262-174524301	chr3	174524262	174524301	2	1.28205128205128
chr13:92321667-92321703	chr13	92321667	92321703	2	1.28205128205128
chr2:11170260-11170260	chr2	11170260	11170260	1	0.641025641025641
chr12:37619874-37619874	chr12	37619874	37619874	1	0.641025641025641
chr7:34662223-34662223	chr7	34662223	34662223	1	0.641025641025641
chr14:44467541-44467541	chr14	44467541	44467541	2	1.28205128205128
chr4:65646396-65646396	chr4	65646396	65646396	1	0.641025641025641
chr21:44505568-44505568	chr21	44505568	44505568	1	0.641025641025641
chr13:109466024-109466024	chr13	109466024	109466024	1	0.641025641025641
chr13:99124382-99124382	chr13	99124382	99124382	1	0.641025641025641
chr9:583972-583972	chr9	583972	583972	1	0.641025641025641
chr15:25051051-25051051	chr15	25051051	25051051	2	1.28205128205128
chr17:62547989-62547989	chr17	62547989	62547989	1	0.641025641025641
chr7:1036166-1036166	chr7	1036166	1036166	1	0.641025641025641
chr16:34592807-34592807	chr16	34592807	34592807	1	0.641025641025641
chr8:127663206-127663206	chr8	127663206	127663206	1	0.641025641025641
chr14:20703437-20703437	chr14	20703437	20703437	1	0.641025641025641
chr5:66180921-66180921	chr5	66180921	66180921	1	0.641025641025641
chr2:217226967-217227009	chr2	217226967	217227009	2	1.28205128205128
chrY:13458373-13458373	chrY	13458373	13458373	1	0.641025641025641
chr18:56319827-56319827	chr18	56319827	56319827	1	0.641025641025641
chr2:78798809-78798809	chr2	78798809	78798809	1	0.641025641025641
chr3:125620001-125620001	chr3	125620001	125620001	1	0.641025641025641
chr1:120335583-120335583	chr1	120335583	120335583	1	0.641025641025641
chr4:105235744-105235744	chr4	105235744	105235744	1	0.641025641025641
chr9:4901663-4901694	chr9	4901663	4901694	2	1.28205128205128
chr8:41668675-41668675	chr8	41668675	41668675	1	0.641025641025641
chr10:30034250-30034250	chr10	30034250	30034250	1	0.641025641025641
chr9:5523983-5523983	chr9	5523983	5523983	1	0.641025641025641
chr15:20623057-20623057	chr15	20623057	20623057	1	0.641025641025641
chr7:22864904-22864904	chr7	22864904	22864904	1	0.641025641025641
chr10:28300684-28300684	chr10	28300684	28300684	1	0.641025641025641
chr6:151377508-151377508	chr6	151377508	151377508	1	0.641025641025641
chr12:107673267-107673267	chr12	107673267	107673267	1	0.641025641025641
